,host,count,Name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,Order,Family,Genus
22,Pinus muricata,68,Pinus muricata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
23,Pinus torreyana,67,Pinus torreyana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
24,missing,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Theobroma cacao,64,Theobroma cacao,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Malvales,Malvaceae,Byttnerioideae,Theobroma,NA,NA,NA,NA,NA,Malvales,Malvaceae,Theobroma
26,Dactylis glomerata,60,Dactylis glomerata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,BOP clade,Pooideae,Poodae,Poeae,Poeae Chloroplast Group 2 (Poeae type),Dactylidinae,Dactylis,NA,NA,Poales,Poaceae,Dactylis
27,Pinus flexilis,60,Pinus flexilis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
28,Citrus sinensis L. Osbeck cv. Valencia,55,Citrus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Citrus
29,Sarracenia purpurea,53,Sarracenia purpurea,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Sarraceniaceae,Sarracenia,NA,NA,NA,NA,NA,NA,NA,Ericales,Sarraceniaceae,Sarracenia
30,Lolium arundinaceum,52,Lolium arundinaceum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,BOP clade,Pooideae,Poodae,Poeae,Poeae Chloroplast Group 2 (Poeae type),Loliinae,Lolium,NA,NA,Poales,Poaceae,Lolium
31,Not applicable,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Populus tremuloides,51,Populus tremuloides,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Salicaceae,Saliceae,Populus,NA,NA,NA,NA,NA,Malpighiales,Salicaceae,Populus
33,Zea mays,48,Zea mays,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,PACMAD clade,Panicoideae,Andropogonodae,Andropogoneae,Tripsacinae,Zea,NA,NA,NA,Poales,Poaceae,Zea
34,Abies magnifica,47,Abies magnifica,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Abies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Abies
35,Fraxinus ornus,46,Fraxinus ornus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Lamiales,Oleaceae,Oleeae,Fraxinus,NA,NA,NA,NA,NA,Lamiales,Oleaceae,Fraxinus
36,Vaccinium ovatum,40,Vaccinium ovatum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,NA,NA,NA,NA,NA,Ericales,Ericaceae,Vaccinium
37,Codonopsis pilosula,36,Codonopsis pilosula,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Campanulaceae,Codonopsis,NA,NA,NA,NA,NA,NA,Asterales,Campanulaceae,Codonopsis
38,Urochloa,27,Urochloa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,PACMAD clade,Panicoideae,Panicodae,Paniceae,Melinidinae,NA,NA,NA,NA,Poales,Poaceae,Urochloa
39,Urochloa brizantha,27,Urochloa brizantha,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,PACMAD clade,Panicoideae,Panicodae,Paniceae,Melinidinae,Urochloa,NA,NA,NA,Poales,Poaceae,Urochloa
40,Urochloa decumbens,27,Urochloa decumbens,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,PACMAD clade,Panicoideae,Panicodae,Paniceae,Melinidinae,Urochloa,NA,NA,NA,Poales,Poaceae,Urochloa
41,Pinus strobus,26,Pinus strobus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
42,Asclepias curassavica,20,Asclepias curassavica,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Apocynaceae,Asclepiadoideae,Asclepiadeae,Asclepiadinae,Asclepias,NA,NA,NA,Gentianales,Apocynaceae,Asclepias
43,Pinus virginiana,20,Pinus virginiana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
44,Ceanothus arboreus,19,Ceanothus arboreus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rhamnaceae,Rhamnaceae incertae sedis,Ceanothus,NA,NA,NA,NA,NA,Rosales,Rhamnaceae,Ceanothus
45,Pinus rigida,18,Pinus rigida,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
46,Vitis riparia,18,Vitis riparia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,rosids incertae sedis,Vitales,Vitaceae,Viteae,Vitis,NA,NA,NA,NA,NA,Vitales,Vitaceae,Vitis
47,Arctostaphylos insularis,17,Arctostaphylos insularis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Ericaceae,Arbutoideae,Arctostaphylos,NA,NA,NA,NA,NA,NA,Ericales,Ericaceae,Arctostaphylos
48,Citrus paradisi Macfadyen cv. Ray Ruby,17,Citrus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Citrus
49,Vitis,15,Vitis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,rosids incertae sedis,Vitales,Vitaceae,Viteae,NA,NA,NA,NA,NA,NA,Vitales,Vitaceae,Vitis
50,Citrus sinensis (L.) Osbeck cv. Navel,14,Citrus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Citrus
51,Asclepias fascicularis,13,Asclepias fascicularis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Apocynaceae,Asclepiadoideae,Asclepiadeae,Asclepiadinae,Asclepias,NA,NA,NA,Gentianales,Apocynaceae,Asclepias
52,Pinus taiwanensis,13,Pinus taiwanensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
53,Asplenium pekinense,12,Asplenium pekinense,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Aspleniineae,Aspleniaceae,Asplenium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Aspleniaceae,Asplenium
54,Athyrium wallichianum Ching,12,Athyrium wallichiana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Aspleniineae,Athyriaceae,Athyrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Athyriaceae,Athyrium
55,Cryptogramma raddeana Fomin,12,Cryptogramma raddeana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Pteridineae,Pteridaceae,Cryptogrammoideae,Cryptogramma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Pteridaceae,Cryptogramma
56,Deparia boryana,12,Deparia boryana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Aspleniineae,Athyriaceae,Deparia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Athyriaceae,Deparia
57,Dryopteris setosa,12,Dryopteris setosa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Polypodiineae,Dryopteridaceae,Dryopteridoideae,Dryopteris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Dryopteridaceae,Dryopteris
58,Lycopodium japonicum Thunb,12,Lycopodium japonicum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodioideae,Lycopodium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lycopodiales,Lycopodiaceae,Lycopodium
59,Microlepia strigosa (Thunb.) C. Presl,12,Microlepia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Dennstaedtiinaeae,Dennstaedtiaceae,Microlepia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Dennstaedtiaceae,Microlepia
60,Morus alba,12,Morus alba,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Moraceae,Morus,NA,NA,NA,NA,NA,NA,Rosales,Moraceae,Morus
61,Pseudocystopteris,12,Pseudocystopteris,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Aspleniineae,Athyriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Athyriaceae,Pseudocystopteris
62,Pteridrys australis Ching,12,Pteridrys australis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Polypodiineae,Pteridryaceae,Pteridrys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Pteridryaceae,Pteridrys
63,Paullinia cupana,10,Paullinia cupana var. sorbilis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Sapindaceae,Sapindoideae,Paullinieae,Paullinia,Paullinia cupana,NA,NA,NA,Sapindales,Sapindaceae,Paullinia
64,Fuscospora fusca,9,Fuscospora fusca,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Nothofagaceae,Fuscospora,NA,NA,NA,NA,NA,NA,Fagales,Nothofagaceae,Fuscospora
65,Juniperus virginiana,9,Juniperus virginiana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers II,Cupressaceae,Juniperus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Cupressaceae,Juniperus
66,Lophozonia menziesii,9,Lophozonia menziesii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Nothofagaceae,Lophozonia,NA,NA,NA,NA,NA,NA,Fagales,Nothofagaceae,Lophozonia
67,Magnolia grandiflora,9,Magnolia grandiflora,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Magnoliales,Magnoliaceae,Magnolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliales,Magnoliaceae,Magnolia
68,Pinus jeffreyi,9,Pinus jeffreyi,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
69,Pinus resinosa,9,Pinus resinosa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
70,Amaranthus,8,Amaranthus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Amaranthaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caryophyllales,Amaranthaceae,Amaranthus
71,Brassica oleracea var. alboglabra,8,Brassica oleracea var. alboglabra,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Brassica,Brassica oleracea,NA,NA,NA,NA,Brassicales,Brassicaceae,Brassica
